"state","region","pop","SATV","SATM","pctSAT","spendPerStudent","pay","numGrads","primaryEnr","seondaryEnr","netSAT","totalEnr"
"AL","ESC",4041,470,514,8,3.648,27,387,524,198,984,722
"AK","PAC",550,438,476,42,7.887,43,55,93,32,914,125
"AZ","MTN",3665,445,497,25,4.231,30,313,512,183,942,695
"AR","WSC",2351,470,511,6,3.334,23,258,317,126,981,443
"CA","PAC",29760,419,484,45,4.826,39,2446,3909,1430,903,5339
"CO","MTN",3294,456,513,28,4.809,31,311,459,167,969,626
"CN","NE",3287,430,471,74,7.914,43,271,371,129,901,500
"DE","SA",666,433,470,58,6.016,35,53,77,29,903,106
"DC","SA",607,409,441,68,8.21,39,34,59,20,850,79
"FL","SA",12938,418,466,44,5.154,30,937,1518,524,884,2042
"GA","SA",6478,401,443,57,4.86,29,577,907,325,844,1232
"HI","PAC",1108,404,481,52,5.008,32,92,130,50,885,180
"ID","MTN",1007,466,502,17,3.2,25,127,164,70,968,234
"IL","ENC",11431,466,528,16,5.062,34,1027,1347,540,994,1887
"IN","ENC",5544,408,459,54,5.051,32,566,677,288,867,965
"IA","WNC",2777,511,577,5,4.839,28,292,349,150,1088,499
"KS","WNC",2478,492,548,10,5.009,29,241,330,127,1040,457
"KY","ESC",3685,473,521,10,4.39,29,339,464,188,994,652
"LA","WSC",4220,476,517,9,4.012,26,322,576,209,993,785
"ME","NE",1228,423,463,60,5.894,28,132,158,60,886,218
"MD","SA",4781,430,478,59,6.184,38,392,567,202,908,769
"MA","NE",6016,427,473,72,6.351,36,508,642,232,900,874
"MI","ENC",9295,454,514,12,5.257,38,878,1176,442,968,1618
"MN","WNC",4375,477,542,14,5.26,33,462,577,232,1019,809
"MS","ESC",2573,477,519,4,3.322,24,23,363,137,996,500
"MO","WNC",5117,473,522,12,4.415,28,466,617,243,995,860
"MT","MTN",799,464,523,20,5.184,26,9,116,46,987,162
"NE","WNC",1578,484,546,10,4.381,26,171,202,81,1030,283
"NV","MTN",1202,434,487,24,4.564,32,88,174,61,921,235
"NH","NE",1109,442,486,67,5.504,31,103,137,49,928,186
"NJ","MA",7730,418,473,69,9.159,38,667,831,316,891,1147
"NM","MTN",1515,480,527,12,4.446,26,148,219,100,1007,319
"NY","MA",17990,412,470,70,8.5,42,1346,1915,808,882,2723
"NC","SA",6629,401,440,55,4.802,29,612,820,306,841,1126
"ND","WNC",639,505,564,6,3.685,23,74,84,35,1069,119
"OH","ENC",10847,450,499,22,5.639,32,1045,1278,517,949,1795
"OK","WSC",3146,478,523,9,3.742,24,327,439,163,1001,602
"OR","PAC",2842,439,484,49,5.291,32,253,371,150,923,521
"PA","MA",11882,420,463,64,6.534,36,1039,1240,517,883,1757
"RI","NE",1003,422,461,62,6.989,37,79,108,39,883,147
"SC","SA",3487,397,437,54,4.327,28,307,462,176,834,638
"SD","WNC",696,506,555,5,3.73,22,73,98,38,1061,136
"TN","ESC",4877,483,525,12,3.707,28,451,616,236,1008,852
"TX","WSC",16987,413,461,42,4.238,28,1481,2649,931,874,3580
"UT","MTN",1723,492,539,5,2.993,25,235,328,141,1031,469
"VT","NE",563,431,466,62,5.74,31,52,74,25,897,99
"VA","SA",6187,425,470,58,5.36,32,573,774,278,895,1052
"WA","PAC",4867,437,486,44,5.045,33,444,667,256,923,923
"WV","SA",1793,443,490,15,5.046,26,201,215,98,933,313
"WI","ENC",4892,476,543,11,5.946,33,486,599,250,1019,849
"WY","MTN",454,458,519,13,5.255,29,58,71,29,977,100
